scenario,p_true,alpha_at_ridge_near_truth,alpha_upper_at_rel_logpost_minus2,curvature_alpha_at_truth,approx_halfwidth_alpha_for_rel_logpost_minus1
True p = 0.15,0.15,1,1,382231.16199011134,0.002287451804623142
True p = 0.25,0.25,1,0.9995011209972654,716503.3054860451,0.0016707285678294978
True p = 0.50,0.5,1,1.0001728040352786,2154453.370192385,9.634883070152876e-4
True p = 0.75,0.75,1,0.9999361714832407,6451306.546353576,5.567896561060999e-4
True p = 0.85,0.85,1.06,1.06,9706828.279629719,4.539168707303908e-4
